Number of data points:1300
Instance 1
Method Accuracy FPR RMSE 
Lasso       1.0 0.8422712933753943 8.067599918141736
rLasso      0.94 0.4777777777777778 7.957897384520153
MCP         0.98 0.6858974358974359 7.711529537970513
fs          0.78 0.09302325581395349 7.930206293394495
r1fs        0.84 0.14285714285714285 7.796787035254821
r2fs        0.84 0.14285714285714285 7.796787035254821
L0Learn     0.8 0.1111111111111111 7.84389894685266
L0L1Learn   0.92 0.08 7.57509287866695
L0L2Learn   0.92 0.08 7.567758878755639
Instance 2
Method Accuracy FPR RMSE 
Lasso       0.98 0.8501529051987767 8.179398519943962
rLasso      0.88 0.42105263157894735 7.969903454439885
MCP         0.9 0.6938775510204082 7.974649245964065
fs          0.78 0.1875 7.990295006932508
r1fs        0.78 0.1875 7.954564768494579
r2fs        0.78 0.1875 7.954564768494579
L0Learn     0.82 0.14583333333333334 7.990205275129624
L0L1Learn   0.8 0.16666666666666666 7.9384220257113025
L0L2Learn   0.78 0.13333333333333333 7.927306697670489
Instance 3
Method Accuracy FPR RMSE 
Lasso       0.96 0.8228782287822878 8.248549089344648
rLasso      0.78 0.38095238095238093 8.20880354697316
MCP         0.9 0.6691176470588235 8.090512265129247
fs          0.76 0.24 8.068627878411545
r1fs        0.78 0.2641509433962264 7.8933519931214295
r2fs        0.78 0.2641509433962264 7.8933519931214295
L0Learn     0.72 0.21739130434782608 8.272313764889534
L0L1Learn   0.86 0.0851063829787234 7.694272906655448
L0L2Learn   0.86 0.10416666666666667 7.702507925802241
Instance 4
Method Accuracy FPR RMSE 
Lasso       1.0 0.8554913294797688 8.118943882427574
rLasso      0.86 0.36764705882352944 7.965885819998655
MCP         0.9 0.6153846153846154 7.966149617272845
fs          0.84 0.2631578947368421 8.052794222078203
r1fs        0.84 0.2631578947368421 7.877207801830723
r2fs        0.84 0.2631578947368421 7.877207801830723
L0Learn     0.88 0.21428571428571427 8.209600375580232
L0L1Learn   0.88 0.15384615384615385 7.779667145285806
L0L2Learn   0.9 0.1346153846153846 7.71996186940828
Instance 5
Method Accuracy FPR RMSE 
Lasso       0.92 0.8520900321543409 7.910693156863155
rLasso      0.9 0.4827586206896552 7.538693439550433
MCP         0.92 0.6805555555555556 7.51119157262415
fs          0.9 0.27419354838709675 7.556240369396307
r1fs        0.9 0.27419354838709675 7.414463066956611
r2fs        0.9 0.27419354838709675 7.414463066956611
L0Learn     0.92 0.09803921568627451 7.4153626394708665
L0L1Learn   0.9 0.11764705882352941 7.329631333655893
L0L2Learn   0.9 0.1346153846153846 7.270229971216808
Instance 6
Method Accuracy FPR RMSE 
Lasso       0.94 0.8729729729729729 8.21402909158337
rLasso      0.78 0.44285714285714284 8.18764961711535
MCP         0.86 0.6950354609929078 8.064830881351694
fs          0.82 0.26785714285714285 8.153665985953527
r1fs        0.84 0.3114754098360656 8.066567931441986
r2fs        0.84 0.3114754098360656 8.066567931441986
L0Learn     0.76 0.24 8.23742085123256
L0L1Learn   0.82 0.18 7.869600692111084
L0L2Learn   0.82 0.16326530612244897 7.906248009802851
Instance 7
Method Accuracy FPR RMSE 
Lasso       0.96 0.8471337579617835 8.292124741553248
rLasso      0.94 0.656934306569343 8.070713058960916
MCP         0.96 0.673469387755102 7.85544073619617
fs          0.8 0.14893617021276595 7.826337609939032
r1fs        0.8 0.16666666666666666 7.818122062517391
r2fs        0.8 0.16666666666666666 7.818122062517391
L0Learn     0.84 0.16 7.743767842118259
L0L1Learn   0.9 0.08163265306122448 7.455479947685604
L0L2Learn   0.9 0.08163265306122448 7.451274513602243
Instance 8
Method Accuracy FPR RMSE 
Lasso       1.0 0.8743718592964824 8.173098146047066
rLasso      0.88 0.5463917525773195 7.984886141498709
MCP         0.88 0.7006802721088435 7.811646205706014
fs          0.92 0.16363636363636364 7.582805235000295
r1fs        0.92 0.16363636363636364 7.513812446709761
r2fs        0.92 0.16363636363636364 7.513812446709761
L0Learn     0.9 0.21052631578947367 7.732781803256121
L0L1Learn   0.94 0.2033898305084746 7.610376859376455
L0L2Learn   0.94 0.11320754716981132 7.488964136933887
Instance 9
Method Accuracy FPR RMSE 
Lasso       0.96 0.8481012658227848 8.656661740460342
rLasso      0.88 0.580952380952381 8.37982523860414
MCP         0.94 0.7025316455696202 8.157790273571631
fs          0.9 0.18181818181818182 7.923553702039165
r1fs        0.9 0.18181818181818182 7.922729923664977
r2fs        0.9 0.18181818181818182 7.922729923664977
L0Learn     0.86 0.31746031746031744 8.309162808529353
L0L1Learn   0.88 0.2 7.897609835939463
L0L2Learn   0.88 0.15384615384615385 7.86165663656622
Instance 10
Method Accuracy FPR RMSE 
Lasso       0.96 0.8647887323943662 8.204790981761368
rLasso      0.92 0.6515151515151515 8.098922120941552
MCP         0.94 0.6845637583892618 7.938844836305983
fs          0.88 0.2413793103448276 7.85181691878366
r1fs        0.88 0.2413793103448276 7.785416452477138
r2fs        0.88 0.2413793103448276 7.785416452477138
L0Learn     0.78 0.2777777777777778 8.244413878998422
L0L1Learn   0.9 0.16666666666666666 7.6855979554695715
L0L2Learn   0.9 0.1509433962264151 7.658031426392971
Average
 Method Accuracy FPR RMSE
Lasso         0.968 0.8530252377438957 8.206588926812646
rLasso        0.876 0.5008839204293628 8.036317982260295
MCP           0.9179999999999999 0.6801113329732573 7.908258517209232
fs            0.8380000000000001 0.2061501867807174 7.893634322192874
r1fs          0.8480000000000001 0.21968354616794133 7.804302348246942
r2fs          0.8480000000000001 0.21968354616794133 7.804302348246942
L0Learn       0.828 0.1992425089791828 7.999892818605764
L0L1Learn     0.8800000000000001 0.1434955412551439 7.683575158055758
L0L2Learn     0.8800000000000001 0.1249625825656823 7.655394006615163
